filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
1.jpg,66770,"{}",68,0,"{""name"":""rect"",""x"":25,""y"":320,""width"":59,""height"":36}","{}"
1.jpg,66770,"{}",68,1,"{""name"":""rect"",""x"":1,""y"":315,""width"":22,""height"":28}","{}"
1.jpg,66770,"{}",68,2,"{""name"":""rect"",""x"":80,""y"":282,""width"":43,""height"":28}","{}"
1.jpg,66770,"{}",68,3,"{""name"":""rect"",""x"":165,""y"":253,""width"":39,""height"":31}","{}"
1.jpg,66770,"{}",68,4,"{""name"":""rect"",""x"":155,""y"":227,""width"":39,""height"":23}","{}"
1.jpg,66770,"{}",68,5,"{""name"":""rect"",""x"":243,""y"":265,""width"":40,""height"":32}","{}"
1.jpg,66770,"{}",68,6,"{""name"":""rect"",""x"":233,""y"":235,""width"":33,""height"":27}","{}"
1.jpg,66770,"{}",68,7,"{""name"":""rect"",""x"":324,""y"":238,""width"":31,""height"":22}","{}"
1.jpg,66770,"{}",68,8,"{""name"":""rect"",""x"":307,""y"":229,""width"":24,""height"":20}","{}"
1.jpg,66770,"{}",68,9,"{""name"":""rect"",""x"":291,""y"":217,""width"":25,""height"":17}","{}"
1.jpg,66770,"{}",68,10,"{""name"":""rect"",""x"":317,""y"":211,""width"":24,""height"":17}","{}"
1.jpg,66770,"{}",68,11,"{""name"":""rect"",""x"":338,""y"":202,""width"":22,""height"":18}","{}"
1.jpg,66770,"{}",68,12,"{""name"":""rect"",""x"":360,""y"":201,""width"":28,""height"":22}","{}"
1.jpg,66770,"{}",68,13,"{""name"":""rect"",""x"":319,""y"":196,""width"":18,""height"":12}","{}"
1.jpg,66770,"{}",68,14,"{""name"":""rect"",""x"":412,""y"":200,""width"":27,""height"":19}","{}"
1.jpg,66770,"{}",68,15,"{""name"":""rect"",""x"":403,""y"":193,""width"":16,""height"":14}","{}"
1.jpg,66770,"{}",68,16,"{""name"":""rect"",""x"":400,""y"":183,""width"":19,""height"":10}","{}"
1.jpg,66770,"{}",68,17,"{""name"":""rect"",""x"":439,""y"":196,""width"":9,""height"":17}","{}"
1.jpg,66770,"{}",68,18,"{""name"":""rect"",""x"":419,""y"":187,""width"":17,""height"":11}","{}"
1.jpg,66770,"{}",68,19,"{""name"":""rect"",""x"":435,""y"":181,""width"":20,""height"":15}","{}"
1.jpg,66770,"{}",68,20,"{""name"":""rect"",""x"":431,""y"":170,""width"":17,""height"":11}","{}"
1.jpg,66770,"{}",68,21,"{""name"":""rect"",""x"":469,""y"":184,""width"":21,""height"":17}","{}"
1.jpg,66770,"{}",68,22,"{""name"":""rect"",""x"":500,""y"":167,""width"":16,""height"":13}","{}"
1.jpg,66770,"{}",68,23,"{""name"":""rect"",""x"":468,""y"":166,""width"":20,""height"":10}","{}"
1.jpg,66770,"{}",68,24,"{""name"":""rect"",""x"":479,""y"":160,""width"":17,""height"":9}","{}"
1.jpg,66770,"{}",68,25,"{""name"":""rect"",""x"":458,""y"":155,""width"":18,""height"":8}","{}"
1.jpg,66770,"{}",68,26,"{""name"":""rect"",""x"":445,""y"":144,""width"":16,""height"":12}","{}"
1.jpg,66770,"{}",68,27,"{""name"":""rect"",""x"":480,""y"":134,""width"":16,""height"":11}","{}"
1.jpg,66770,"{}",68,28,"{""name"":""rect"",""x"":494,""y"":121,""width"":15,""height"":10}","{}"
1.jpg,66770,"{}",68,29,"{""name"":""rect"",""x"":511,""y"":128,""width"":15,""height"":12}","{}"
1.jpg,66770,"{}",68,30,"{""name"":""rect"",""x"":509,""y"":121,""width"":16,""height"":5}","{}"
1.jpg,66770,"{}",68,31,"{""name"":""rect"",""x"":504,""y"":114,""width"":16,""height"":6}","{}"
1.jpg,66770,"{}",68,32,"{""name"":""rect"",""x"":519,""y"":111,""width"":14,""height"":10}","{}"
1.jpg,66770,"{}",68,33,"{""name"":""rect"",""x"":547,""y"":113,""width"":18,""height"":8}","{}"
1.jpg,66770,"{}",68,34,"{""name"":""rect"",""x"":564,""y"":101,""width"":15,""height"":8}","{}"
1.jpg,66770,"{}",68,35,"{""name"":""rect"",""x"":539,""y"":137,""width"":4,""height"":12}","{}"
1.jpg,66770,"{}",68,36,"{""name"":""rect"",""x"":540,""y"":127,""width"":17,""height"":10}","{}"
1.jpg,66770,"{}",68,37,"{""name"":""rect"",""x"":543,""y"":101,""width"":12,""height"":9}","{}"
1.jpg,66770,"{}",68,38,"{""name"":""rect"",""x"":548,""y"":94,""width"":14,""height"":8}","{}"
1.jpg,66770,"{}",68,39,"{""name"":""rect"",""x"":533,""y"":89,""width"":14,""height"":9}","{}"
1.jpg,66770,"{}",68,40,"{""name"":""rect"",""x"":516,""y"":100,""width"":21,""height"":10}","{}"
1.jpg,66770,"{}",68,41,"{""name"":""rect"",""x"":580,""y"":79,""width"":13,""height"":9}","{}"
1.jpg,66770,"{}",68,42,"{""name"":""rect"",""x"":561,""y"":81,""width"":14,""height"":7}","{}"
1.jpg,66770,"{}",68,43,"{""name"":""rect"",""x"":543,""y"":81,""width"":12,""height"":6}","{}"
1.jpg,66770,"{}",68,44,"{""name"":""rect"",""x"":537,""y"":74,""width"":11,""height"":5}","{}"
1.jpg,66770,"{}",68,45,"{""name"":""rect"",""x"":552,""y"":74,""width"":13,""height"":5}","{}"
